Settlement Date,All Prod,Prod Forecast,Cons Forecast,Wind Prod,Wind Forecast,DA price,Imb up price,Imb down price,Gas Price
2017-12-31,3860.369136363635,45909.75,43347.903225806454,2727.658649999999,3862.148093750001,70.00967741935484,70.14064153225809,70.14064153225809,52.65806451612903
2018-01-31,3775.10544560358,47751.708333333336,44046.76612903226,3733.439285714286,5061.466914285714,63.53064516129033,70.99809516129034,70.99809516129034,54.60564516129032
2018-02-28,3707.743144144141,47353.333333333336,42678.875,2113.380642857143,3088.4213,64.06642857142857,57.244606964285715,57.244606964285715,64.27946428571428
2018-03-31,3627.3164560117316,48131.5625,40098.72580645161,1890.8298636363643,2750.9706874999997,63.27612903225806,73.81987548387096,73.81987548387096,57.09193548387096
2018-04-30,3150.456147440794,40682.19107189015,33159.21666666667,2317.1686785714287,3554.0732857142857,64.15233333333332,58.782239500000024,58.782239500000024,54.953333333333326
2018-05-31,2872.882927568366,40682.19107189015,29174.645161290322,2199.353428571428,2355.578533333333,67.10903225806449,49.76447766129032,49.76447766129032,58.15564516129034
2018-06-30,2891.196450757576,35617.25,29149.775,2138.8831,2286.1717941176476,63.69500000000002,57.03039025,57.03039025,55.57416666666667
2018-07-31,2911.1814538002996,35216.290322580644,29629.65322580645,957.0775833333333,781.7462222222222,67.21806451612902,64.94447596774194,64.94447596774194,57.8782258064516
2018-08-31,2811.4584611973355,33320.083333333336,29531.9435483871,2421.9971896551724,2626.5231904761904,70.39032258064518,59.06367725806451,59.06367725806451,61.92903225806453
2018-09-30,2920.303973484848,35796.15,31262.508333333335,2136.8406200012555,4523.657071428571,71.48299999999999,64.97217675,64.97217675,67.25750000000001
2018-10-31,3141.0196664222863,40682.19107189015,35178.75,1660.9041250000002,5152.760692307692,73.73580645161292,72.74016749999998,72.74016749999998,62.57016129032258
2018-11-30,3605.0710401515125,43388.09523809524,41373.325,3353.929631578948,4079.718583333333,87.70200000000001,76.94627983333336,76.94627983333336,62.98249999999998
2018-12-31,3560.8523966275666,45710.8,40933.62096774193,2426.140675,3225.9978499999997,82.51225806451613,77.18451612903226,77.18451612903226,61.95
2019-01-31,3740.315148093841,46007.0,43475.66129032258,2561.774068181818,4459.626946969696,70.58935483870968,69.67604838709677,69.67604838709677,48.62661290322581
2019-02-28,3082.2346704545466,43380.98039215686,39829.955357142855,2642.260571428572,6187.245416666668,53.83607142857143,53.464686517857146,53.464686517857146,41.16696428571428
2019-03-31,2969.450456011729,39763.55172413793,35764.31451612903,829.7648750000001,2139.1215,52.73,47.553826048387094,47.553826048387094,36.38709677419356
2019-04-30,2950.7142598484857,36130.75,31195.1,2696.1315000000004,2722.797565476191,48.846666666666664,42.370303250000006,42.370303250000006,34.38416666666668
2019-05-31,2768.224606304986,33470.11363636364,29430.58064516129,2198.4405312499994,2633.9621041666664,47.60161290322581,41.493358467741906,41.493358467741906,32.23306451612903
2019-06-30,2671.690191666669,33617.0,28915.65,4049.233,,48.775,49.95075566666665,49.95075566666665,30.842499999999998
2019-07-31,2792.215423020528,33425.11235955056,28972.129032258064,2410.8553750000005,3095.339487179487,49.00032258064516,44.2861960483871,44.2861960483871,32.023387096774194
2019-08-31,2577.3542456011737,32643.370967741936,27847.90322580645,3781.7811521739136,4397.620450980391,45.76193548387096,39.527836612903215,39.527836612903215,30.290322580645153
2019-09-30,2710.0255734848492,34099.308333333334,30301.5,2136.8406200012555,2278.8141249999976,48.842999999999996,37.557282750000006,37.557282750000006,30.32333333333333
2019-10-31,3069.467983870967,35954.41176470588,35395.346774193546,1744.8405,2697.4635416666647,49.88870967741935,44.322878145161276,44.322878145161276,29.499999999999996
2019-11-30,3549.3589090909095,43580.38333333333,41853.183333333334,2671.23478125,3933.0136228070173,65.23333333333333,60.42748425,60.42748425,38.73666666666666
2019-12-31,3419.341827712611,42753.29838709677,40433.01612903226,4927.922703125001,5870.8824444444435,59.02677419354839,50.70359959677421,50.70359959677421,32.64032258064516
