,Business Type,Power System Resource  Type,Settlement Date,Settlement Period,Quantity ,Resolution
229,Solar generation,Solar,2015-01-14,9,0.0,PT30M
230,Wind generation,Wind Offshore,2015-01-14,9,3070.0,PT30M
231,Wind generation,Wind Offshore,2015-01-14,10,3225.0,PT30M
232,Wind generation,Wind Onshore,2015-01-14,10,2637.0,PT30M
233,Solar generation,Solar,2015-01-14,10,0.0,PT30M
234,Wind generation,Wind Offshore,2015-01-14,23,3347.0,PT30M
235,Wind generation,Wind Onshore,2015-01-14,23,3390.0,PT30M
236,Solar generation,Solar,2015-01-14,23,801.0,PT30M
237,Wind generation,Wind Offshore,2015-01-14,24,3348.0,PT30M
238,Wind generation,Wind Onshore,2015-01-14,24,3321.0,PT30M
239,Solar generation,Solar,2015-01-14,24,946.0,PT30M
240,Wind generation,Wind Offshore,2015-01-14,35,3108.0,PT30M
241,Wind generation,Wind Onshore,2015-01-14,35,3514.0,PT30M
242,Solar generation,Solar,2015-01-14,35,10.0,PT30M
243,Wind generation,Wind Offshore,2015-01-14,36,3131.0,PT30M
244,Wind generation,Wind Onshore,2015-01-14,36,3629.0,PT30M
245,Solar generation,Solar,2015-01-14,36,0.0,PT30M
246,Wind generation,Wind Offshore,2015-01-14,48,3026.0,PT30M
247,Wind generation,Wind Onshore,2015-01-14,48,3621.0,PT30M
248,Solar generation,Solar,2015-01-14,48,0.0,PT30M
249,Wind generation,Wind Offshore,2015-01-15,12,3104.0,PT30M
250,Wind generation,Wind Onshore,2015-01-15,12,3559.0,PT30M
251,Solar generation,Solar,2015-01-15,12,0.0,PT30M
252,Wind generation,Wind Offshore,2015-01-15,13,3107.0,PT30M
253,Wind generation,Wind Onshore,2015-01-15,13,3532.0,PT30M
254,Solar generation,Solar,2015-01-15,13,0.0,PT30M
255,Wind generation,Wind Offshore,2015-01-15,24,2862.0,PT30M
256,Wind generation,Wind Onshore,2015-01-15,24,2900.0,PT30M
257,Solar generation,Solar,2015-01-15,24,646.0,PT30M
258,Wind generation,Wind Offshore,2015-01-15,25,2732.0,PT30M
259,Wind generation,Wind Onshore,2015-01-15,25,2958.0,PT30M
260,Solar generation,Solar,2015-01-15,25,770.0,PT30M
261,Wind generation,Wind Offshore,2015-01-15,26,2597.0,PT30M
262,Wind generation,Wind Onshore,2015-01-15,26,2865.0,PT30M
263,Solar generation,Solar,2015-01-15,26,840.0,PT30M
264,Wind generation,Wind Offshore,2015-01-15,30,2517.0,PT30M
265,Wind generation,Wind Onshore,2015-01-15,30,3229.0,PT30M
266,Solar generation,Solar,2015-01-15,30,662.0,PT30M
267,Wind generation,Wind Offshore,2015-01-15,31,2503.0,PT30M
268,Wind generation,Wind Onshore,2015-01-15,31,3524.0,PT30M
269,Solar generation,Solar,2015-01-15,31,518.0,PT30M
270,Wind generation,Wind Offshore,2015-01-15,32,2406.0,PT30M
271,Wind generation,Wind Onshore,2015-01-15,32,3613.0,PT30M
272,Solar generation,Solar,2015-01-15,32,387.0,PT30M
273,Wind generation,Wind Offshore,2015-01-15,33,2249.0,PT30M
274,Wind generation,Wind Onshore,2015-01-15,33,3603.0,PT30M
275,Solar generation,Solar,2015-01-15,33,257.0,PT30M
276,Wind generation,Wind Offshore,2015-01-15,34,2349.0,PT30M
277,Wind generation,Wind Onshore,2015-01-15,34,3609.0,PT30M
278,Solar generation,Solar,2015-01-15,34,138.0,PT30M
279,Wind generation,Wind Offshore,2015-01-15,46,3373.0,PT30M
280,Wind generation,Wind Onshore,2015-01-15,46,3929.0,PT30M
281,Solar generation,Solar,2015-01-15,46,0.0,PT30M
282,Wind generation,Wind Offshore,2015-01-15,47,3395.0,PT30M
283,Wind generation,Wind Onshore,2015-01-15,47,3879.0,PT30M
284,Solar generation,Solar,2015-01-15,47,0.0,PT30M
285,Wind generation,Wind Offshore,2015-01-16,7,3268.0,PT30M
286,Wind generation,Wind Onshore,2015-01-16,7,3394.0,PT30M
287,Solar generation,Solar,2015-01-16,7,0.0,PT30M
288,Wind generation,Wind Offshore,2015-01-16,8,3325.0,PT30M
289,Wind generation,Wind Onshore,2015-01-16,8,3297.0,PT30M
290,Solar generation,Solar,2015-01-16,8,0.0,PT30M
291,Wind generation,Wind Offshore,2015-01-16,18,2473.0,PT30M
292,Wind generation,Wind Onshore,2015-01-16,18,2553.0,PT30M
293,Solar generation,Solar,2015-01-16,18,33.0,PT30M
294,Wind generation,Wind Offshore,2015-01-16,19,2195.0,PT30M
295,Wind generation,Wind Onshore,2015-01-16,19,2446.0,PT30M
296,Solar generation,Solar,2015-01-16,19,49.0,PT30M
297,Wind generation,Wind Offshore,2015-01-16,32,1900.0,PT30M
298,Wind generation,Wind Onshore,2015-01-16,32,2849.0,PT30M
299,Solar generation,Solar,2015-01-16,32,446.0,PT30M
300,Wind generation,Wind Offshore,2015-01-16,33,1781.0,PT30M
301,Wind generation,Wind Onshore,2015-01-16,33,2654.0,PT30M
302,Solar generation,Solar,2015-01-16,33,275.0,PT30M
303,Wind generation,Wind Offshore,2015-01-16,45,2389.0,PT30M
304,Wind generation,Wind Onshore,2015-01-16,45,2241.0,PT30M
305,Solar generation,Solar,2015-01-16,45,0.0,PT30M
306,Wind generation,Wind Offshore,2015-01-16,46,2356.0,PT30M
307,Wind generation,Wind Onshore,2015-01-16,46,2157.0,PT30M
308,Solar generation,Solar,2015-01-16,46,0.0,PT30M
309,Wind generation,Wind Onshore,2015-01-17,6,1676.0,PT30M
310,Solar generation,Solar,2015-01-17,6,0.0,PT30M
311,Wind generation,Wind Offshore,2015-01-17,6,2270.0,PT30M
312,Wind generation,Wind Offshore,2015-01-17,7,2123.0,PT30M
313,Wind generation,Wind Onshore,2015-01-17,7,1696.0,PT30M
314,Solar generation,Solar,2015-01-17,7,0.0,PT30M
315,Wind generation,Wind Offshore,2015-01-17,19,2967.0,PT30M
316,Wind generation,Wind Onshore,2015-01-17,19,1555.0,PT30M
317,Solar generation,Solar,2015-01-17,19,61.0,PT30M
318,Wind generation,Wind Offshore,2015-01-17,20,2983.0,PT30M
319,Wind generation,Wind Onshore,2015-01-17,20,1544.0,PT30M
320,Solar generation,Solar,2015-01-17,20,174.0,PT30M
321,Wind generation,Wind Offshore,2015-01-17,21,3024.0,PT30M
322,Wind generation,Wind Onshore,2015-01-17,21,1596.0,PT30M
323,Solar generation,Solar,2015-01-17,21,286.0,PT30M
324,Wind generation,Wind Offshore,2015-01-17,22,2979.0,PT30M
325,Wind generation,Wind Onshore,2015-01-17,22,1515.0,PT30M
