,Business Type,Power System Resource  Type,Settlement Date,Settlement Period,Quantity,Resolution
165,Solar generation,Solar,2015-01-02,8,0.0,PT30M
166,Wind generation,Wind Offshore,2015-01-02,8,3535.798,PT30M
167,Wind generation,Wind Onshore,2015-01-02,8,5271.2609999999995,PT30M
168,Solar generation,Solar,2015-01-02,9,0.0,PT30M
169,Wind generation,Wind Offshore,2015-01-02,9,3525.329,PT30M
170,Wind generation,Wind Onshore,2015-01-02,9,5259.064,PT30M
171,Solar generation,Solar,2015-01-02,10,0.0,PT30M
172,Wind generation,Wind Offshore,2015-01-02,10,3525.329,PT30M
173,Wind generation,Wind Onshore,2015-01-02,10,5259.064,PT30M
174,Solar generation,Solar,2015-01-02,11,0.0,PT30M
175,Wind generation,Wind Offshore,2015-01-02,11,3503.363,PT30M
176,Wind generation,Wind Onshore,2015-01-02,11,5238.079000000001,PT30M
177,Solar generation,Solar,2015-01-02,12,0.0,PT30M
178,Wind generation,Wind Offshore,2015-01-02,12,3503.363,PT30M
179,Wind generation,Wind Onshore,2015-01-02,12,5238.079000000001,PT30M
180,Solar generation,Solar,2015-01-02,13,0.0,PT30M
181,Wind generation,Wind Offshore,2015-01-02,13,3451.4179999999997,PT30M
182,Wind generation,Wind Onshore,2015-01-02,13,5220.755,PT30M
183,Solar generation,Solar,2015-01-02,14,0.0,PT30M
184,Wind generation,Wind Offshore,2015-01-02,14,3451.4179999999997,PT30M
185,Wind generation,Wind Onshore,2015-01-02,14,5220.755,PT30M
186,Solar generation,Solar,2015-01-02,15,0.0,PT30M
187,Wind generation,Wind Offshore,2015-01-02,15,3399.88,PT30M
188,Wind generation,Wind Onshore,2015-01-02,15,5152.034000000001,PT30M
189,Solar generation,Solar,2015-01-02,16,0.0,PT30M
190,Wind generation,Wind Offshore,2015-01-02,16,3399.88,PT30M
191,Wind generation,Wind Onshore,2015-01-02,16,5152.034000000001,PT30M
192,Solar generation,Solar,2015-01-02,17,0.0,PT30M
193,Wind generation,Wind Offshore,2015-01-02,17,3347.603,PT30M
194,Wind generation,Wind Onshore,2015-01-02,17,5050.302,PT30M
195,Solar generation,Solar,2015-01-02,18,0.0,PT30M
196,Wind generation,Wind Offshore,2015-01-02,18,3347.603,PT30M
197,Wind generation,Wind Onshore,2015-01-02,18,5050.302,PT30M
198,Solar generation,Solar,2015-01-02,19,0.0,PT30M
199,Wind generation,Wind Offshore,2015-01-02,19,3305.212,PT30M
200,Wind generation,Wind Onshore,2015-01-02,19,4958.427,PT30M
201,Solar generation,Solar,2015-01-02,20,0.0,PT30M
202,Wind generation,Wind Offshore,2015-01-02,20,3305.212,PT30M
203,Wind generation,Wind Onshore,2015-01-02,20,4958.427,PT30M
204,Solar generation,Solar,2015-01-02,21,0.0,PT30M
205,Wind generation,Wind Offshore,2015-01-02,21,3289.1009999999997,PT30M
206,Wind generation,Wind Onshore,2015-01-02,21,4997.157999999999,PT30M
207,Solar generation,Solar,2015-01-02,22,0.0,PT30M
208,Wind generation,Wind Offshore,2015-01-02,22,3289.1009999999997,PT30M
209,Wind generation,Wind Onshore,2015-01-02,22,4997.157999999999,PT30M
210,Solar generation,Solar,2015-01-02,23,0.0,PT30M
211,Wind generation,Wind Offshore,2015-01-02,23,3267.855,PT30M
212,Wind generation,Wind Onshore,2015-01-02,23,5055.241,PT30M
213,Solar generation,Solar,2015-01-02,24,0.0,PT30M
214,Wind generation,Wind Offshore,2015-01-02,24,3267.855,PT30M
215,Wind generation,Wind Onshore,2015-01-02,24,5055.241,PT30M
216,Solar generation,Solar,2015-01-02,25,0.0,PT30M
217,Wind generation,Wind Offshore,2015-01-02,25,3633.94,PT30M
218,Wind generation,Wind Onshore,2015-01-02,25,5079.6720000000005,PT30M
219,Solar generation,Solar,2015-01-02,26,0.0,PT30M
220,Wind generation,Wind Offshore,2015-01-02,26,3633.94,PT30M
221,Wind generation,Wind Onshore,2015-01-02,26,5079.6720000000005,PT30M
222,Solar generation,Solar,2015-01-02,27,0.0,PT30M
223,Wind generation,Wind Offshore,2015-01-02,27,3619.8109999999997,PT30M
224,Wind generation,Wind Onshore,2015-01-02,27,5012.710999999999,PT30M
225,Solar generation,Solar,2015-01-02,28,0.0,PT30M
226,Wind generation,Wind Offshore,2015-01-02,28,3619.8109999999997,PT30M
227,Wind generation,Wind Onshore,2015-01-02,28,5012.710999999999,PT30M
228,Solar generation,Solar,2015-01-02,29,0.0,PT30M
229,Wind generation,Wind Offshore,2015-01-02,29,3589.395,PT30M
230,Wind generation,Wind Onshore,2015-01-02,29,4898.7390000000005,PT30M
231,Solar generation,Solar,2015-01-02,30,0.0,PT30M
232,Wind generation,Wind Offshore,2015-01-02,30,3589.395,PT30M
233,Wind generation,Wind Onshore,2015-01-02,30,4898.7390000000005,PT30M
234,Solar generation,Solar,2015-01-02,31,0.0,PT30M
235,Wind generation,Wind Offshore,2015-01-02,31,3541.2870000000003,PT30M
236,Wind generation,Wind Onshore,2015-01-02,31,4816.431,PT30M
237,Solar generation,Solar,2015-01-02,32,0.0,PT30M
