,RecordType,SettlementDate,SettlementPeriod,Zone,TimePublished,Quantity
12,DANF,20150110,13,N,20150110054700,24917
13,DANF,20150110,14,N,20150110061700,25994
14,DANF,20150110,15,N,20150110064700,27516
15,DANF,20150110,16,N,20150110071700,28893
16,DANF,20150110,17,N,20150110074600,30623
17,DANF,20150110,18,N,20150110081600,32357
18,DANF,20150110,19,N,20150110081600,33901
19,DANF,20150110,20,N,20150110091600,34878
20,DANF,20150110,21,N,20150110094600,35600
21,DANF,20150110,22,N,20150110101600,35600
22,DANF,20150110,23,N,20150110104600,35663
23,DANF,20150110,24,N,20150110111600,35975
24,DANF,20150110,25,N,20150110114800,35790
25,DANF,20150110,26,N,20150110121800,35581
26,DANF,20150110,27,N,20150110124800,35205
27,DANF,20150110,28,N,20150110131800,35031
28,DANF,20150110,29,N,20150110134800,35086
29,DANF,20150110,30,N,20150110141800,35000
30,DANF,20150110,31,N,20150110144800,35257
31,DANF,20150110,32,N,20150110151800,35886
32,DANF,20150110,33,N,20150110154800,37701
33,DANF,20150110,34,N,20150110161800,41196
34,DANF,20150110,35,N,20150110164800,43099
35,DANF,20150110,36,N,20150110171800,43600
36,DANF,20150110,37,N,20150110174800,43011
37,DANF,20150110,38,N,20150110181700,42000
38,DANF,20150110,39,N,20150110184800,40839
39,DANF,20150110,40,N,20150110191700,39184
40,DANF,20150110,41,N,20150110194700,37690
41,DANF,20150110,42,N,20150110201700,36500
42,DANF,20150110,43,N,20150110204700,35125
43,DANF,20150110,44,N,20150110211700,33830
44,DANF,20150110,45,N,20150110214700,32379
45,DANF,20150110,46,N,20150110221700,31337
46,DANF,20150110,47,N,20150110224700,29794
47,DANF,20150110,48,N,20150110231700,28700
0,DANF,20150111,1,N,20150110234800,28600
1,DANF,20150111,2,N,20150111001700,28500
2,DANF,20150111,3,N,20150111004700,27933
3,DANF,20150111,4,N,20150111011700,27066
4,DANF,20150111,5,N,20150111014700,26272
5,DANF,20150111,6,N,20150111021700,26064
6,DANF,20150111,7,N,20150111024700,25406
7,DANF,20150111,8,N,20150111031700,24669
8,DANF,20150111,9,N,20150111034700,24115
9,DANF,20150111,10,N,20150111041700,23800
10,DANF,20150111,11,N,20150111044700,23863
11,DANF,20150111,12,N,20150111051700,24026
12,DANF,20150111,13,N,20150111054700,24829
13,DANF,20150111,14,N,20150111061700,25414
14,DANF,20150111,15,N,20150111064700,26334
15,DANF,20150111,16,N,20150111071700,27031
16,DANF,20150111,17,N,20150111074600,28332
17,DANF,20150111,18,N,20150111081600,30081
18,DANF,20150111,19,N,20150111081600,31839
19,DANF,20150111,20,N,20150111091600,33242
20,DANF,20150111,21,N,20150111094600,34300
21,DANF,20150111,22,N,20150111101600,35190
22,DANF,20150111,23,N,20150111104600,36273
23,DANF,20150111,24,N,20150111111600,36647
24,DANF,20150111,25,N,20150111114800,37078
25,DANF,20150111,26,N,20150111121800,36700
26,DANF,20150111,27,N,20150111124800,36499
27,DANF,20150111,28,N,20150111131800,36149
28,DANF,20150111,29,N,20150111134800,36091
29,DANF,20150111,30,N,20150111141700,37916
30,DANF,20150111,31,N,20150111144800,37843
31,DANF,20150111,32,N,20150111151800,38288
32,DANF,20150111,33,N,20150111154800,39318
33,DANF,20150111,34,N,20150111161800,42154
34,DANF,20150111,35,N,20150111164800,44100
35,DANF,20150111,36,N,20150111171700,44041
36,DANF,20150111,37,N,20150111174700,43920
37,DANF,20150111,38,N,20150111181700,42723
38,DANF,20150111,39,N,20150111184700,41614
39,DANF,20150111,40,N,20150111191700,40146
40,DANF,20150111,41,N,20150111194700,39114
41,DANF,20150111,42,N,20150111201700,37400
42,DANF,20150111,43,N,20150111204700,36067
43,DANF,20150111,44,N,20150111211700,33993
44,DANF,20150111,45,N,20150111214700,32388
45,DANF,20150111,46,N,20150111221700,30663
46,DANF,20150111,47,N,20150111224700,28557
47,DANF,20150111,48,N,20150111231700,27200
0,DANF,20150112,1,N,20150111234700,27300
1,DANF,20150112,2,N,20150112001700,27300
