PRODUCT_BID,TICKERCODE,NOTATIONTIME,PRICE_TIMEZONE,DELIVERY_START,DELIVERY_END,PRICE,VOLATILITY,POINT_NAME,VALUE_TYPE_SHORTNAME,DELIVERY_PERIOD_TYPE_SHORTNAME,PRICE_SOURCE_SHORTNAME,PRICE_PROVIDER_SHORTNAME,DELIVERY_PERIOD_TYPE_NAME,VALUE_TYPE_NAME,PRODUCT_NAME,PRICE_TYPE_NAME,DWH_ARC_BATCH_ID,DWH_VALID_FROM,DWH_LOAD_DATE
1000166,PA0003068.6.0,30-10-17 00:00:00,CEST,30-10-17 00:00:00,31-10-17 00:00:00,45.75,,NBP,Mid,DY,Arg,LIM,Day,Mid,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,507902,27-10-17 22:12:52,29-07-20 10:35:14
1000166,PA0003068.6.0,30-10-17 00:00:00,CEST,30-10-17 00:00:00,31-10-17 00:00:00,45.775,,NBP,Hgh,DY,Arg,LIM,Day,High,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,507902,27-10-17 22:12:52,29-07-20 10:35:14
1000166,PA0003068.6.0,30-10-17 00:00:00,CEST,30-10-17 00:00:00,31-10-17 00:00:00,45.725,,NBP,Low,DY,Arg,LIM,Day,Low,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,507902,27-10-17 22:12:52,29-07-20 10:35:14
1000166,PA0003068.6.0,31-10-17 00:00:00,CEST,31-10-17 00:00:00,01-11-17 00:00:00,47.1,,NBP,Hgh,DY,Arg,LIM,Day,High,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,508608,30-10-17 22:17:48,29-07-20 10:35:14
1000166,PA0003068.6.0,31-10-17 00:00:00,CEST,31-10-17 00:00:00,01-11-17 00:00:00,47.05,,NBP,Low,DY,Arg,LIM,Day,Low,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,508608,30-10-17 22:17:48,29-07-20 10:35:14
1000166,PA0003068.6.0,31-10-17 00:00:00,CEST,31-10-17 00:00:00,01-11-17 00:00:00,47.075,,NBP,Mid,DY,Arg,LIM,Day,Mid,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,508608,30-10-17 22:17:48,29-07-20 10:35:14
1000166,PA0003068.6.0,01-11-17 00:00:00,CEST,01-11-17 00:00:00,02-11-17 00:00:00,47.55,,NBP,Hgh,DY,Arg,LIM,Day,High,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,509204,31-10-17 22:14:53,29-07-20 10:35:14
1000166,PA0003068.6.0,01-11-17 00:00:00,CEST,01-11-17 00:00:00,02-11-17 00:00:00,47.5,,NBP,Low,DY,Arg,LIM,Day,Low,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,509204,31-10-17 22:14:53,29-07-20 10:35:14
1000166,PA0003068.6.0,01-11-17 00:00:00,CEST,01-11-17 00:00:00,02-11-17 00:00:00,47.525,,NBP,Mid,DY,Arg,LIM,Day,Mid,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,509204,31-10-17 22:14:53,29-07-20 10:35:14
1000166,PA0003068.6.0,02-11-17 00:00:00,CEST,02-11-17 00:00:00,03-11-17 00:00:00,48.3,,NBP,Low,DY,Arg,LIM,Day,Low,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,509729,01-11-17 22:18:31,29-07-20 10:35:14
1000166,PA0003068.6.0,02-11-17 00:00:00,CEST,02-11-17 00:00:00,03-11-17 00:00:00,48.3,,NBP,Mid,DY,Arg,LIM,Day,Mid,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,509729,01-11-17 22:18:31,29-07-20 10:35:14
1000166,PA0003068.6.0,02-11-17 00:00:00,CEST,02-11-17 00:00:00,03-11-17 00:00:00,48.3,,NBP,Hgh,DY,Arg,LIM,Day,High,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,509729,01-11-17 22:18:31,29-07-20 10:35:14
1000166,PA0003068.6.0,03-11-17 00:00:00,CEST,03-11-17 00:00:00,04-11-17 00:00:00,48.6,,NBP,Hgh,DY,Arg,LIM,Day,High,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,510264,02-11-17 22:15:20,29-07-20 10:35:14
1000166,PA0003068.6.0,03-11-17 00:00:00,CEST,03-11-17 00:00:00,04-11-17 00:00:00,48.6,,NBP,Low,DY,Arg,LIM,Day,Low,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,510264,02-11-17 22:15:20,29-07-20 10:35:14
1000166,PA0003068.6.0,03-11-17 00:00:00,CEST,03-11-17 00:00:00,04-11-17 00:00:00,48.6,,NBP,Mid,DY,Arg,LIM,Day,Mid,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,510264,02-11-17 22:15:20,29-07-20 10:35:14
1000166,PA0003068.6.0,04-11-17 00:00:00,CEST,04-11-17 00:00:00,05-11-17 00:00:00,47.6,,NBP,Mid,DY,Arg,LIM,Day,Mid,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,510939,03-11-17 22:19:40,29-07-20 10:35:14
1000166,PA0003068.6.0,04-11-17 00:00:00,CEST,04-11-17 00:00:00,05-11-17 00:00:00,47.6,,NBP,Hgh,DY,Arg,LIM,Day,High,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,510939,03-11-17 22:19:40,29-07-20 10:35:14
1000166,PA0003068.6.0,04-11-17 00:00:00,CEST,04-11-17 00:00:00,05-11-17 00:00:00,47.6,,NBP,Low,DY,Arg,LIM,Day,Low,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,510939,03-11-17 22:19:40,29-07-20 10:35:14
1000166,PA0003068.6.0,05-11-17 00:00:00,CEST,05-11-17 00:00:00,06-11-17 00:00:00,47.6,,NBP,Hgh,DY,Arg,LIM,Day,High,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,510939,03-11-17 22:19:40,29-07-20 10:35:14
1000166,PA0003068.6.0,05-11-17 00:00:00,CEST,05-11-17 00:00:00,06-11-17 00:00:00,47.6,,NBP,Mid,DY,Arg,LIM,Day,Mid,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,510939,03-11-17 22:19:40,29-07-20 10:35:14
1000166,PA0003068.6.0,05-11-17 00:00:00,CEST,05-11-17 00:00:00,06-11-17 00:00:00,47.6,,NBP,Low,DY,Arg,LIM,Day,Low,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,510939,03-11-17 22:19:40,29-07-20 10:35:14
1000166,PA0003068.6.0,06-11-17 00:00:00,CEST,06-11-17 00:00:00,07-11-17 00:00:00,49.45,,NBP,Hgh,DY,Arg,LIM,Day,High,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,510939,03-11-17 22:19:40,29-07-20 10:35:14
1000166,PA0003068.6.0,06-11-17 00:00:00,CEST,06-11-17 00:00:00,07-11-17 00:00:00,49.4,,NBP,Low,DY,Arg,LIM,Day,Low,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,510939,03-11-17 22:19:40,29-07-20 10:35:14
1000166,PA0003068.6.0,06-11-17 00:00:00,CEST,06-11-17 00:00:00,07-11-17 00:00:00,49.425,,NBP,Mid,DY,Arg,LIM,Day,Mid,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,510939,03-11-17 22:19:40,29-07-20 10:35:14
1000166,PA0003068.6.0,07-11-17 00:00:00,CEST,07-11-17 00:00:00,08-11-17 00:00:00,50.9,,NBP,Mid,DY,Arg,LIM,Day,Mid,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,512532,06-11-17 22:32:45,29-07-20 10:35:14
1000166,PA0003068.6.0,07-11-17 00:00:00,CEST,07-11-17 00:00:00,08-11-17 00:00:00,50.9,,NBP,Low,DY,Arg,LIM,Day,Low,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,512532,06-11-17 22:32:45,29-07-20 10:35:14
1000166,PA0003068.6.0,07-11-17 00:00:00,CEST,07-11-17 00:00:00,08-11-17 00:00:00,50.9,,NBP,Hgh,DY,Arg,LIM,Day,High,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,512532,06-11-17 22:32:45,29-07-20 10:35:14
1000166,PA0003068.6.0,08-11-17 00:00:00,CEST,08-11-17 00:00:00,09-11-17 00:00:00,51.225,,NBP,Hgh,DY,Arg,LIM,Day,High,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,513187,07-11-17 22:19:49,29-07-20 10:35:14
1000166,PA0003068.6.0,08-11-17 00:00:00,CEST,08-11-17 00:00:00,09-11-17 00:00:00,51.225,,NBP,Low,DY,Arg,LIM,Day,Low,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,513187,07-11-17 22:19:49,29-07-20 10:35:14
1000166,PA0003068.6.0,08-11-17 00:00:00,CEST,08-11-17 00:00:00,09-11-17 00:00:00,51.225,,NBP,Mid,DY,Arg,LIM,Day,Mid,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,513187,07-11-17 22:19:49,29-07-20 10:35:14
1000166,PA0003068.6.0,09-11-17 00:00:00,CEST,09-11-17 00:00:00,10-11-17 00:00:00,51.175,,NBP,Low,DY,Arg,LIM,Day,Low,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,513967,09-11-17 07:30:55,29-07-20 10:35:14
1000166,PA0003068.6.0,09-11-17 00:00:00,CEST,09-11-17 00:00:00,10-11-17 00:00:00,51.225,,NBP,Hgh,DY,Arg,LIM,Day,High,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,513967,09-11-17 07:30:55,29-07-20 10:35:14
1000166,PA0003068.6.0,09-11-17 00:00:00,CEST,09-11-17 00:00:00,10-11-17 00:00:00,51.2,,NBP,Mid,DY,Arg,LIM,Day,Mid,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,513967,09-11-17 07:30:55,29-07-20 10:35:14
1000166,PA0003068.6.0,10-11-17 00:00:00,CEST,10-11-17 00:00:00,11-11-17 00:00:00,51.35,,NBP,Low,DY,Arg,LIM,Day,Low,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,514438,09-11-17 22:17:10,29-07-20 10:35:14
1000166,PA0003068.6.0,10-11-17 00:00:00,CEST,10-11-17 00:00:00,11-11-17 00:00:00,51.35,,NBP,Hgh,DY,Arg,LIM,Day,High,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,514438,09-11-17 22:17:10,29-07-20 10:35:14
1000166,PA0003068.6.0,10-11-17 00:00:00,CEST,10-11-17 00:00:00,11-11-17 00:00:00,51.35,,NBP,Mid,DY,Arg,LIM,Day,Mid,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,514438,09-11-17 22:17:10,29-07-20 10:35:14
1000166,PA0003068.6.0,11-11-17 00:00:00,CEST,11-11-17 00:00:00,12-11-17 00:00:00,52.05,,NBP,Hgh,DY,Arg,LIM,Day,High,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,515292,10-11-17 22:22:17,29-07-20 10:35:14
1000166,PA0003068.6.0,11-11-17 00:00:00,CEST,11-11-17 00:00:00,12-11-17 00:00:00,52.025,,NBP,Mid,DY,Arg,LIM,Day,Mid,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,515292,10-11-17 22:22:17,29-07-20 10:35:14
1000166,PA0003068.6.0,11-11-17 00:00:00,CEST,11-11-17 00:00:00,12-11-17 00:00:00,52,,NBP,Low,DY,Arg,LIM,Day,Low,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,515292,10-11-17 22:22:17,29-07-20 10:35:14
1000166,PA0003068.6.0,12-11-17 00:00:00,CEST,12-11-17 00:00:00,13-11-17 00:00:00,52.05,,NBP,Hgh,DY,Arg,LIM,Day,High,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,515292,10-11-17 22:22:17,29-07-20 10:35:14
1000166,PA0003068.6.0,12-11-17 00:00:00,CEST,12-11-17 00:00:00,13-11-17 00:00:00,52.025,,NBP,Mid,DY,Arg,LIM,Day,Mid,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,515292,10-11-17 22:22:17,29-07-20 10:35:14
1000166,PA0003068.6.0,12-11-17 00:00:00,CEST,12-11-17 00:00:00,13-11-17 00:00:00,52,,NBP,Low,DY,Arg,LIM,Day,Low,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,515292,10-11-17 22:22:17,29-07-20 10:35:14
1000166,PA0003068.6.0,13-11-17 00:00:00,CEST,13-11-17 00:00:00,14-11-17 00:00:00,53.6,,NBP,Hgh,DY,Arg,LIM,Day,High,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,515292,10-11-17 22:22:17,29-07-20 09:24:46
1000166,PA0003068.6.0,13-11-17 00:00:00,CEST,13-11-17 00:00:00,14-11-17 00:00:00,53.55,,NBP,Low,DY,Arg,LIM,Day,Low,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,515292,10-11-17 22:22:17,29-07-20 09:24:46
1000166,PA0003068.6.0,13-11-17 00:00:00,CEST,13-11-17 00:00:00,14-11-17 00:00:00,53.575,,NBP,Mid,DY,Arg,LIM,Day,Mid,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,515292,10-11-17 22:22:17,29-07-20 09:24:46
1000166,PA0003068.6.0,14-11-17 00:00:00,CEST,14-11-17 00:00:00,15-11-17 00:00:00,54,,NBP,Low,DY,Arg,LIM,Day,Low,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,516986,13-11-17 22:24:07,29-07-20 09:24:46
1000166,PA0003068.6.0,14-11-17 00:00:00,CEST,14-11-17 00:00:00,15-11-17 00:00:00,54.025,,NBP,Mid,DY,Arg,LIM,Day,Mid,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,516986,13-11-17 22:24:07,29-07-20 09:24:46
1000166,PA0003068.6.0,14-11-17 00:00:00,CEST,14-11-17 00:00:00,15-11-17 00:00:00,54.05,,NBP,Hgh,DY,Arg,LIM,Day,High,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,516986,13-11-17 22:24:07,29-07-20 09:24:46
1000166,PA0003068.6.0,15-11-17 00:00:00,CEST,15-11-17 00:00:00,16-11-17 00:00:00,52.6,,NBP,Mid,DY,Arg,LIM,Day,Mid,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,517788,14-11-17 22:16:22,29-07-20 09:24:46
1000166,PA0003068.6.0,15-11-17 00:00:00,CEST,15-11-17 00:00:00,16-11-17 00:00:00,52.575,,NBP,Low,DY,Arg,LIM,Day,Low,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,517788,14-11-17 22:16:22,29-07-20 09:24:46
